"id_operacion","id_almacen","fecha_hora","tipo_operacion","recursos_asignados","productos_involucrados","tiempo_ejecucion","estado_operacion","tiempo_estimado","productividad","zona_almacen","volumen"
130,5,"2024-06-09 09:27:00","Recepción",3,112,"39.18","Completado","37.90","0.66","Zona C - Picking","14.11"
131,5,"2024-02-11 12:10:00","Picking",6,84,"14.97","En_Progreso","56.44","1.30","Zona D - Packing","16.72"
132,2,"2024-04-14 10:17:00","Picking",4,73,"36.83","En_Progreso","25.70","0.87","Zona A - Recepción","10.61"
133,1,"2024-08-08 06:53:00","Packing",7,32,"14.63","En_Progreso","11.10","1.13","Zona E - Expedición","23.68"
134,3,"2024-05-15 06:43:00","Picking",2,87,"34.94","Completado","71.21","0.72","Zona E - Expedición","19.75"
135,1,"2024-03-10 10:14:00","Recepción",5,131,"11.84","Completado","34.46","0.72","Zona E - Expedición","22.33"
136,4,"2024-03-07 01:59:00","Picking",2,180,"33.05","Completado","20.74","0.66","Zona E - Expedición","6.55"
137,4,"2024-01-28 09:49:00","Picking",3,183,"41.28","Completado","39.27","0.69","Zona C - Picking","2.55"
138,5,"2024-05-17 11:15:00","Inventario",5,7,"44.67","Completado","10.62","1.22","Zona D - Packing","20.21"
139,4,"2024-01-06 13:02:00","Picking",4,139,"21.09","Completado","33.87","1.31","Zona E - Expedición","6.80"
140,4,"2024-09-22 07:11:00","Inventario",4,8,"14.52","Completado","15.28","1.21","Zona B - Almacenaje","1.42"
141,5,"2024-06-10 10:05:00","Inventario",5,13,"27.45","En_Progreso","69.28","1.03","Zona C - Picking","21.41"
142,4,"2024-01-23 02:47:00","Recepción",3,187,"55.85","Completado","11.34","0.98","Zona B - Almacenaje","13.42"
143,4,"2024-06-21 10:32:00","Inventario",8,123,"77.15","En_Progreso","86.76","1.05","Zona C - Picking","17.92"
144,2,"2024-02-15 10:55:00","Inventario",3,179,"22.37","Completado","40.38","0.80","Zona A - Recepción","19.24"
145,4,"2024-07-26 13:12:00","Packing",8,156,"24.75","Completado","128.83","0.91","Zona A - Recepción","6.08"
146,2,"2024-07-10 11:14:00","Packing",3,186,"56.93","Completado","60.34","1.15","Zona B - Almacenaje","8.53"
147,1,"2024-06-25 10:35:00","Packing",6,88,"24.19","Completado","49.19","0.73","Zona C - Picking","19.57"
148,5,"2024-08-31 01:49:00","Recepción",7,181,"69.61","Completado","58.24","1.17","Zona A - Recepción","7.49"
149,4,"2024-03-16 09:04:00","Packing",2,113,"54.73","En_Progreso","145.02","0.92","Zona D - Packing","12.25"
150,5,"2024-02-01 02:27:00","Picking",8,176,"143.45","Completado","61.22","1.01","Zona A - Recepción","20.00"
151,5,"2024-03-06 05:30:00","Picking",2,191,"15.34","Completado","32.93","0.95","Zona D - Packing","3.82"
152,5,"2024-09-20 09:27:00","Packing",8,74,"26.10","Completado","26.41","0.80","Zona A - Recepción","2.90"
153,3,"2024-07-29 04:02:00","Packing",3,9,"95.13","Completado","172.24","1.18","Zona C - Picking","3.57"
154,1,"2024-03-24 09:49:00","Recepción",7,162,"94.54","Completado","169.09","1.02","Zona A - Recepción","16.77"
155,5,"2024-06-23 07:40:00","Recepción",2,175,"46.41","Completado","75.66","1.20","Zona B - Almacenaje","3.16"
156,2,"2024-04-03 07:00:00","Inventario",3,130,"67.91","Completado","16.89","1.11","Zona A - Recepción","10.63"
157,1,"2024-09-06 05:39:00","Recepción",6,70,"28.99","En_Progreso","26.42","0.95","Zona B - Almacenaje","6.68"
158,1,"2024-01-25 07:13:00","Picking",5,49,"164.02","Completado","17.95","0.66","Zona E - Expedición","15.11"
159,5,"2024-08-26 02:35:00","Recepción",4,43,"53.53","Completado","31.99","0.91","Zona A - Recepción","13.74"
160,2,"2024-08-08 08:48:00","Packing",4,181,"151.15","Completado","35.66","0.65","Zona A - Recepción","10.53"
161,3,"2024-02-03 12:02:00","Recepción",6,151,"39.86","Completado","39.84","1.30","Zona D - Packing","21.89"
162,5,"2024-05-04 12:07:00","Packing",6,1,"28.31","Completado","43.34","0.93","Zona C - Picking","20.83"
163,1,"2024-04-22 03:55:00","Inventario",5,73,"58.68","Completado","74.63","1.24","Zona B - Almacenaje","18.34"
164,1,"2024-01-18 04:49:00","Packing",5,157,"180.18","Completado","87.17","0.95","Zona C - Picking","5.03"
165,4,"2024-06-30 07:20:00","Picking",2,166,"28.59","Completado","49.36","1.32","Zona D - Packing","16.98"
166,1,"2024-08-22 00:49:00","Recepción",3,117,"31.38","Completado","42.15","1.15","Zona A - Recepción","13.57"
167,3,"2024-09-21 06:41:00","Packing",7,44,"40.88","Completado","14.18","0.69","Zona B - Almacenaje","13.85"
168,5,"2024-08-06 06:11:00","Recepción",7,51,"66.86","En_Progreso","31.95","1.17","Zona B - Almacenaje","9.90"
169,4,"2024-07-04 11:22:00","Picking",5,192,"63.79","Completado","78.48","1.07","Zona E - Expedición","14.91"
170,4,"2024-08-21 05:43:00","Recepción",6,132,"46.90","Completado","39.71","0.89","Zona C - Picking","3.29"
171,5,"2024-07-26 13:37:00","Picking",1,68,"19.29","En_Progreso","31.07","1.13","Zona B - Almacenaje","18.16"
172,1,"2024-03-10 03:44:00","Recepción",1,95,"18.82","Completado","109.01","1.34","Zona E - Expedición","9.18"
173,5,"2024-05-21 04:19:00","Inventario",4,152,"23.43","En_Progreso","47.07","0.95","Zona E - Expedición","1.55"
174,4,"2024-01-15 09:58:00","Recepción",8,151,"44.44","Completado","17.04","1.31","Zona C - Picking","1.42"
175,5,"2024-02-28 06:50:00","Inventario",5,165,"34.65","Completado","64.48","1.39","Zona E - Expedición","24.63"
176,1,"2024-03-29 12:24:00","Recepción",7,39,"75.09","Completado","21.65","0.90","Zona E - Expedición","15.39"
177,2,"2024-06-03 02:36:00","Recepción",3,98,"26.91","Completado","36.94","0.69","Zona E - Expedición","14.56"
178,4,"2024-09-13 13:32:00","Inventario",4,166,"20.25","En_Progreso","23.89","0.94","Zona D - Packing","12.31"
179,2,"2024-06-05 06:52:00","Packing",3,150,"50.46","Completado","88.69","0.86","Zona C - Picking","15.60"
180,4,"2024-01-31 09:49:00","Packing",7,170,"68.65","Completado","59.55","1.29","Zona C - Picking","20.94"
181,5,"2024-07-01 13:11:00","Packing",8,168,"35.42","En_Progreso","49.89","1.27","Zona A - Recepción","6.82"
182,2,"2024-08-20 09:17:00","Recepción",3,197,"148.64","Completado","75.90","1.11","Zona B - Almacenaje","24.93"
183,4,"2024-09-27 05:02:00","Inventario",6,120,"125.36","Completado","18.17","0.62","Zona A - Recepción","18.95"
184,1,"2024-05-21 01:23:00","Inventario",1,170,"20.40","Completado","17.39","0.68","Zona E - Expedición","22.85"
185,2,"2024-01-17 09:17:00","Inventario",6,79,"58.33","Completado","57.85","1.33","Zona E - Expedición","2.86"
186,3,"2024-01-28 06:44:00","Packing",4,174,"52.03","Completado","15.50","1.01","Zona D - Packing","10.65"
187,1,"2024-04-11 04:08:00","Inventario",2,187,"18.13","Completado","40.67","0.73","Zona C - Picking","3.80"
188,3,"2024-09-13 01:52:00","Inventario",8,138,"26.30","En_Progreso","30.95","1.11","Zona A - Recepción","5.26"
189,4,"2024-08-15 08:20:00","Packing",7,169,"14.37","Completado","127.32","0.90","Zona D - Packing","14.61"
190,1,"2024-02-24 07:31:00","Recepción",2,1,"39.82","Completado","136.89","1.19","Zona E - Expedición","7.25"
191,3,"2024-04-26 00:30:00","Packing",3,14,"76.51","Completado","17.27","0.83","Zona E - Expedición","19.42"
192,2,"2024-08-05 01:40:00","Picking",1,46,"20.18","En_Progreso","37.83","1.15","Zona C - Picking","12.10"
193,3,"2024-05-07 05:44:00","Recepción",6,78,"38.92","Completado","39.52","1.18","Zona D - Packing","13.93"
194,2,"2024-09-14 05:10:00","Inventario",2,68,"34.83","Completado","29.99","0.66","Zona E - Expedición","7.83"
195,4,"2024-04-25 04:40:00","Packing",7,98,"23.64","En_Progreso","97.75","0.62","Zona A - Recepción","1.55"
196,4,"2024-04-26 02:27:00","Inventario",2,156,"51.45","Completado","58.19","1.29","Zona C - Picking","3.34"
197,2,"2024-03-31 10:56:00","Recepción",5,141,"18.00","Completado","55.49","1.26","Zona A - Recepción","17.52"
198,5,"2024-01-29 10:04:00","Inventario",2,153,"65.43","Completado","46.66","0.66","Zona A - Recepción","4.79"
199,4,"2024-01-22 03:15:00","Picking",3,20,"128.96","En_Progreso","43.29","1.13","Zona D - Packing","9.97"
200,4,"2024-03-14 09:34:00","Packing",1,58,"80.82","Completado","12.26","1.35","Zona C - Picking","6.84"
201,5,"2024-03-27 09:54:00","Recepción",3,59,"26.18","Completado","33.34","0.95","Zona A - Recepción","2.02"
202,3,"2024-07-07 01:29:00","Inventario",8,162,"152.80","Completado","161.64","1.35","Zona E - Expedición","22.36"
203,4,"2024-09-10 07:47:00","Inventario",3,165,"61.88","Completado","85.70","1.27","Zona E - Expedición","5.13"
204,2,"2024-02-02 12:15:00","Recepción",1,64,"117.99","Completado","22.37","1.33","Zona D - Packing","4.14"
205,5,"2024-08-25 09:07:00","Picking",1,114,"16.55","En_Progreso","39.98","1.31","Zona E - Expedición","10.54"
206,4,"2024-09-02 01:39:00","Picking",1,41,"83.00","Completado","34.29","1.33","Zona E - Expedición","20.52"
207,2,"2024-06-22 03:44:00","Picking",7,147,"131.45","Completado","84.96","0.63","Zona E - Expedición","2.52"
208,1,"2024-09-14 07:24:00","Picking",3,21,"12.12","Completado","84.36","1.13","Zona C - Picking","9.05"
209,5,"2024-04-10 05:48:00","Picking",8,172,"47.48","Completado","19.61","0.75","Zona C - Picking","22.29"
210,5,"2024-09-13 03:25:00","Inventario",4,196,"13.58","Completado","11.99","0.79","Zona A - Recepción","5.93"
211,1,"2024-02-12 11:18:00","Inventario",3,160,"63.20","Completado","46.25","0.89","Zona B - Almacenaje","19.99"
212,1,"2024-04-08 01:48:00","Inventario",8,49,"28.92","Completado","18.29","1.13","Zona B - Almacenaje","2.21"
213,5,"2024-09-19 08:06:00","Inventario",2,103,"47.61","Completado","22.51","0.77","Zona B - Almacenaje","21.36"
214,1,"2024-03-09 00:17:00","Picking",3,199,"30.00","Completado","31.84","1.29","Zona E - Expedición","3.45"
215,2,"2024-07-31 03:55:00","Picking",3,24,"55.30","Completado","78.49","1.21","Zona B - Almacenaje","12.71"
216,5,"2024-06-23 01:40:00","Inventario",3,140,"42.88","Completado","57.15","1.01","Zona B - Almacenaje","19.95"
217,1,"2024-03-31 09:41:00","Inventario",6,60,"68.06","Completado","91.11","1.28","Zona A - Recepción","5.54"
218,5,"2024-08-30 05:07:00","Inventario",3,108,"58.56","En_Progreso","45.26","1.13","Zona A - Recepción","18.02"
219,4,"2024-09-10 06:27:00","Packing",6,183,"111.06","En_Progreso","177.81","1.26","Zona D - Packing","4.28"
220,2,"2024-06-12 12:27:00","Picking",1,74,"111.09","En_Progreso","13.24","0.99","Zona D - Packing","21.70"
221,1,"2024-02-24 09:40:00","Packing",2,81,"88.13","Completado","71.18","0.78","Zona E - Expedición","21.89"
222,2,"2024-06-18 08:53:00","Picking",4,183,"64.67","Completado","149.80","0.88","Zona D - Packing","24.88"
223,1,"2024-07-13 08:06:00","Inventario",7,72,"108.81","Completado","76.88","1.28","Zona E - Expedición","6.80"
224,2,"2024-08-16 02:56:00","Picking",6,91,"34.44","En_Progreso","19.42","0.78","Zona D - Packing","8.96"
225,2,"2024-05-17 01:27:00","Inventario",6,32,"17.82","Completado","105.44","0.90","Zona A - Recepción","1.86"
226,3,"2024-04-22 02:19:00","Inventario",7,159,"20.34","Completado","36.19","1.24","Zona D - Packing","14.55"
227,2,"2024-01-22 07:54:00","Packing",1,104,"43.20","Completado","54.39","1.20","Zona B - Almacenaje","13.25"
228,4,"2024-07-26 04:50:00","Inventario",3,10,"13.70","Completado","26.24","0.71","Zona C - Picking","19.31"
229,2,"2024-07-09 02:39:00","Inventario",3,18,"34.59","Completado","16.26","1.10","Zona D - Packing","14.23"
230,3,"2024-05-25 03:29:00","Packing",1,95,"21.73","Completado","37.45","0.86","Zona E - Expedición","1.74"
231,1,"2024-02-18 05:25:00","Recepción",6,55,"18.56","Completado","133.19","0.69","Zona B - Almacenaje","22.07"
232,2,"2024-05-10 09:02:00","Packing",2,15,"16.45","Completado","115.61","0.67","Zona B - Almacenaje","14.46"
233,4,"2024-04-01 03:01:00","Packing",4,120,"22.56","Completado","21.96","1.39","Zona D - Packing","3.03"
234,4,"2024-09-29 01:00:00","Packing",2,16,"62.80","Completado","157.50","1.06","Zona E - Expedición","4.38"
