Id_almacen,Zona_almacen,Tipo_operacion,total_operaciones,eficiencia_global,tiempo_real_promedio,tiempo_estimado_promedio,desviacion_tiempo,volumen_total_manejado,velocidad_operacion,tasa_exito,tasa_fallo
3,Zona A - Recepción,Inventario,1035,100.16,59.76,60.36,-0.6,13258.75,2.76,84.83,0.48
2,Zona B - Almacenaje,Packing,986,100.15,61.7,61.65,0.05,12330.82,2.66,86.41,1.32
3,Zona C - Picking,Recepción,1001,100.14,60.89,58.97,1.92,12661.18,2.69,85.21,0.60
2,Zona E - Expedición,Recepción,999,100.09,63.36,61.59,1.77,12416.45,2.61,86.79,0.70
4,Zona C - Picking,Inventario,964,100.09,60.74,59.99,0.75,12827.02,2.65,81.43,0.62
4,Zona C - Picking,Recepción,1007,100.07,59.15,60.99,-1.84,12686.34,2.77,85.90,0.79
4,Zona D - Packing,Recepción,1042,100.06,61.26,61.32,-0.06,13532.78,2.6,85.03,1.06
1,Zona A - Recepción,Recepción,966,100.06,59.08,61.75,-2.67,12847.97,2.87,84.68,0.62
2,Zona D - Packing,Recepción,984,100.04,63.25,61.1,2.15,12384.78,2.6,83.33,0.81
2,Zona B - Almacenaje,Picking,1019,100.01,61.62,58.89,2.73,13239.2,2.64,83.91,0.98
2,Zona D - Packing,Picking,994,100,60.16,60.24,-0.08,12626.08,2.77,85.61,0.70
1,Zona D - Packing,Picking,1010,99.99,62.13,61.24,0.89,13096.4,2.62,85.54,0.50
3,Zona B - Almacenaje,Packing,984,99.97,60.75,61.37,-0.62,12373.84,2.78,84.76,1.02
5,Zona E - Expedición,Recepción,993,99.94,62.81,60.68,2.13,12636.87,2.72,84.69,0.50
4,Zona D - Packing,Inventario,964,99.94,58.21,61.82,-3.61,12126.68,2.84,85.37,0.93
2,Zona C - Picking,Picking,996,99.92,60.04,62.51,-2.47,12493,2.83,84.04,1.41
1,Zona B - Almacenaje,Picking,964,99.92,60.11,60.1,0.01,12318.04,2.58,83.82,0.73
5,Zona B - Almacenaje,Picking,986,99.9,61.54,59.06,2.49,12447.97,2.79,86.41,0.51
4,Zona A - Recepción,Inventario,978,99.9,59.19,62.08,-2.9,12469.87,2.82,84.15,1.33
4,Zona D - Packing,Picking,978,99.89,61.94,61.23,0.71,12813.17,2.84,85.28,0.61
4,Zona B - Almacenaje,Inventario,1031,99.87,60.93,61.6,-0.67,13183.1,2.74,82.74,0.68
1,Zona B - Almacenaje,Recepción,1038,99.84,63.55,59.08,4.46,13356.31,2.59,87.19,0.67
4,Zona E - Expedición,Recepción,988,99.81,57.47,59.58,-2.11,12255.91,2.78,86.34,1.11
4,Zona A - Recepción,Recepción,1097,99.81,59.64,61,-1.36,14036,2.77,84.14,1.09
3,Zona B - Almacenaje,Recepción,993,99.78,61.74,63,-1.26,12487.62,2.69,83.48,0.50
3,Zona D - Packing,Inventario,992,99.77,59.65,59.68,-0.03,12606.09,2.68,83.97,0.91
2,Zona A - Recepción,Picking,1045,99.77,60.2,62.08,-1.88,13102.55,2.67,83.83,1.24
5,Zona C - Picking,Packing,1003,99.76,61.31,63.19,-1.88,12295.65,2.69,84.65,0.30
4,Zona E - Expedición,Inventario,982,99.75,60.96,61.25,-0.28,12180.11,2.74,84.11,0.92
1,Zona B - Almacenaje,Inventario,1047,99.74,58.3,58.17,0.13,13468.97,2.82,85.20,0.86
2,Zona E - Expedición,Packing,1060,99.72,59.53,60.51,-0.98,13845.48,2.75,84.34,0.75
5,Zona B - Almacenaje,Inventario,932,99.71,60.14,60.92,-0.78,11776.27,2.75,85.52,0.43
3,Zona B - Almacenaje,Inventario,1019,99.68,62.63,59.4,3.22,13045.89,2.49,83.91,0.79
1,Zona C - Picking,Inventario,985,99.68,60.71,58.73,1.97,12636.09,2.76,82.74,0.61
4,Zona E - Expedición,Picking,958,99.62,59.22,59.21,0.01,12202.3,2.67,85.91,0.73
5,Zona A - Recepción,Recepción,1009,99.6,59.04,59.98,-0.93,12780.17,2.78,84.74,0.89
1,Zona D - Packing,Recepción,1013,99.56,59.26,62,-2.74,12833.05,2.83,85.49,0.59
2,Zona A - Recepción,Inventario,1022,99.54,60.42,60.39,0.03,13195.88,2.72,84.74,0.59
4,Zona A - Recepción,Picking,1016,99.52,57.88,56.19,1.69,12573.66,2.86,85.24,1.28
1,Zona C - Picking,Picking,962,99.47,60.49,63.26,-2.77,12500.02,2.78,85.45,0.73
3,Zona A - Recepción,Picking,989,99.46,59.99,60.37,-0.39,12370.45,2.78,85.34,0.81
5,Zona D - Packing,Picking,1002,99.43,61.23,61.8,-0.58,12378.75,2.88,83.73,0.70
1,Zona D - Packing,Inventario,1032,99.38,61,59.49,1.51,13032.85,2.63,83.24,1.07
2,Zona D - Packing,Inventario,971,99.38,61.04,61.84,-0.81,12563.51,2.79,85.27,0.82
1,Zona A - Recepción,Picking,964,99.36,58.55,62.14,-3.6,12168.36,2.88,84.65,0.52
3,Zona A - Recepción,Packing,1024,99.33,62.4,58.83,3.57,13234.6,2.65,84.77,0.78
5,Zona A - Recepción,Inventario,1055,99.33,61,62.82,-1.82,13579.31,2.64,84.93,0.38
4,Zona B - Almacenaje,Packing,1039,99.32,59.88,61.48,-1.6,13053.24,2.68,83.25,0.29
1,Zona A - Recepción,Packing,1019,99.32,62.21,57.96,4.25,13324.18,2.66,84.00,0.79
3,Zona A - Recepción,Recepción,998,99.3,59.26,59.91,-0.65,12866.84,2.88,83.87,0.50
2,Zona C - Picking,Packing,981,99.28,60.71,59.62,1.09,12200.93,2.62,85.02,1.22
4,Zona C - Picking,Packing,1022,99.27,60.71,59.55,1.16,13231.5,2.68,86.01,0.88
2,Zona E - Expedición,Picking,1052,99.26,60.92,60.61,0.31,13112.31,2.7,84.98,0.95
4,Zona B - Almacenaje,Recepción,982,99.24,61.47,60.56,0.91,12667.32,2.63,83.50,0.81
1,Zona E - Expedición,Recepción,989,99.22,62.11,62.75,-0.64,12815.53,2.64,85.44,0.91
2,Zona A - Recepción,Recepción,1039,99.19,60.07,63.29,-3.22,12894.48,2.68,85.56,0.67
2,Zona E - Expedición,Inventario,990,99.17,59.5,61.48,-1.99,12836.13,2.86,85.05,0.81
1,Zona D - Packing,Packing,1018,99.16,60.37,61.19,-0.82,13027.84,2.75,85.17,0.69
1,Zona C - Picking,Packing,1043,99.1,59.59,59.92,-0.33,13122.18,2.64,85.43,0.58
5,Zona E - Expedición,Picking,964,99.09,61.48,60.75,0.72,12392.4,2.63,84.13,0.62
5,Zona E - Expedición,Packing,982,99,61.37,57.79,3.58,12418.67,2.76,83.81,0.92
4,Zona E - Expedición,Packing,978,98.87,62.07,59.86,2.21,12250.9,2.51,86.61,0.72
5,Zona B - Almacenaje,Recepción,1008,98.8,60.01,62.38,-2.37,12832.02,2.72,84.92,0.50
5,Zona A - Recepción,Packing,953,98.64,58.59,59.53,-0.94,12085.49,2.73,83.63,0.31
null,zona_almacen,tipo_operacion,1,null,null,null,null,null,null,0.00,0.00
